127.0.0.1 - - [26/Jun/2020:01:35:02 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Jun/2020:01:35:03 +0700] "GET /Tourism/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2020:01:35:07 +0700] "GET /Tourism/trang-chu HTTP/1.1" 200 8927
0:0:0:0:0:0:0:1 - - [26/Jun/2020:01:35:07 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [26/Jun/2020:01:35:29 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 5192
0:0:0:0:0:0:0:1 - - [26/Jun/2020:02:08:38 +0700] "GET /Tourism/trang-chu HTTP/1.1" 200 8927
0:0:0:0:0:0:0:1 - - [26/Jun/2020:02:08:40 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 5379
0:0:0:0:0:0:0:1 - - [26/Jun/2020:02:08:54 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 5379
0:0:0:0:0:0:0:1 - - [26/Jun/2020:02:09:08 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 5381
0:0:0:0:0:0:0:1 - - [26/Jun/2020:02:09:18 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 5381
0:0:0:0:0:0:0:1 - - [26/Jun/2020:02:09:32 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [26/Jun/2020:02:09:46 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [26/Jun/2020:02:11:56 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [26/Jun/2020:02:12:46 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 5413
