127.0.0.1 - - [03/Jul/2020:02:44:52 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:44:54 +0700] "GET /Tourism/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:44:57 +0700] "GET /Tourism/trang-chu HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:44:57 +0700] "GET /Tourism/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:44:57 +0700] "GET /Tourism/template/web/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:44:57 +0700] "GET /Tourism/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:44:57 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:02 +0700] "GET /Tourism/khach-san?action=khachsan&page=1&maxPage=5&BusinessID=&type=&sortName=TotalPrice&sortBy=DESC&find= HTTP/1.1" 200 10755
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:02 +0700] "GET /Tourism/template/image/anh20.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:02 +0700] "GET /Tourism/template/image/anh16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:02 +0700] "GET /Tourism/template/image/anh15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:02 +0700] "GET /Tourism/template/image/anh18.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:02 +0700] "GET /Tourism/template/image/anh17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:03 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 11244
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:12 +0700] "GET /Tourism/dang-nhap?action=login HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:12 +0700] "GET /Tourism//maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:12 +0700] "GET /Tourism//code.jquery.com/jquery-1.11.1.min.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:12 +0700] "GET /Tourism//maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [03/Jul/2020:02:45:12 +0700] "GET /Tourism//code.jquery.com/jquery-1.11.1.min.js HTTP/1.1" 404 1051
