127.0.0.1 - - [23/Aug/2020:15:22:29 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:30 +0700] "GET /Tourism/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/trang-chu HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/web/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/web/css/style.css HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 70682
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140930
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/image/anh11.jpg HTTP/1.1" 200 336693
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/image/anh10.jpg HTTP/1.1" 200 658621
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/image/anh1.jpg HTTP/1.1" 200 92116
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/image/anh9.jpg HTTP/1.1" 200 456679
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/image/anh2.jpg HTTP/1.1" 200 80426
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/image/anh3.jpg HTTP/1.1" 200 71834
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/image/anh6.jpg HTTP/1.1" 200 50459
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/image/anh4.jpg HTTP/1.1" 200 331365
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/image/anh7.jpg HTTP/1.1" 200 97551
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/image/anh5.jpg HTTP/1.1" 200 77843
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /Tourism/template/image/anh8.jpg HTTP/1.1" 200 112765
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:32 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:47 +0700] "GET /Tourism/khach-san?action=khachsan&page=1&maxPage=5&BusinessID=&type=&sortName=TotalPrice&sortBy=DESC&find= HTTP/1.1" 200 10755
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:47 +0700] "GET /Tourism/template/web/css/hotel.css HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:47 +0700] "GET /Tourism/template/paging/jquery.twbsPagination.min.js HTTP/1.1" 200 6542
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:47 +0700] "GET /Tourism/template/image/anh20.jpg HTTP/1.1" 200 92051
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:47 +0700] "GET /Tourism/template/image/anh15.jpg HTTP/1.1" 200 109784
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:47 +0700] "GET /Tourism/template/image/anh16.jpg HTTP/1.1" 200 173900
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:47 +0700] "GET /Tourism/template/image/anh18.jpg HTTP/1.1" 200 164572
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:47 +0700] "GET /Tourism/template/image/anh17.jpg HTTP/1.1" 200 124895
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:50 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 11244
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:53 +0700] "GET /Tourism/khach-san?action=khachsan&page=1&maxPage=5&BusinessID=&type=&sortName=TotalPrice&sortBy=DESC&find= HTTP/1.1" 200 10755
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:54 +0700] "GET /Tourism/trang-chu HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:56 +0700] "GET /Tourism/dang-nhap?action=login HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:56 +0700] "GET /Tourism//maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:56 +0700] "GET /Tourism/template/login/login.css HTTP/1.1" 200 3968
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:56 +0700] "GET /Tourism//maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [23/Aug/2020:15:22:56 +0700] "GET /Tourism//code.jquery.com/jquery-1.11.1.min.js HTTP/1.1" 404 1051
