127.0.0.1 - - [04/Sep/2020:01:55:07 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:08 +0700] "GET /Tourism/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/trang-chu HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140930
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/web/css/style.css HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/web/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 70682
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/web/jquery/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/image/anh11.jpg HTTP/1.1" 200 336693
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/image/anh9.jpg HTTP/1.1" 200 456679
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/image/anh1.jpg HTTP/1.1" 200 92116
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/image/anh2.jpg HTTP/1.1" 200 80426
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/image/anh10.jpg HTTP/1.1" 200 658621
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/image/anh3.jpg HTTP/1.1" 200 71834
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/image/anh4.jpg HTTP/1.1" 200 331365
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/image/anh7.jpg HTTP/1.1" 200 97551
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/image/anh6.jpg HTTP/1.1" 200 50459
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/image/anh5.jpg HTTP/1.1" 200 77843
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:12 +0700] "GET /Tourism/template/image/anh8.jpg HTTP/1.1" 200 112765
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:19 +0700] "GET /Tourism/khach-san?action=khachsan&page=1&maxPage=5&BusinessID=&type=&sortName=TotalPrice&sortBy=DESC&find= HTTP/1.1" 200 10755
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:19 +0700] "GET /Tourism/template/web/css/hotel.css HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:19 +0700] "GET /Tourism/template/paging/jquery.twbsPagination.min.js HTTP/1.1" 200 6542
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:19 +0700] "GET /Tourism/template/image/anh20.jpg HTTP/1.1" 200 92051
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:19 +0700] "GET /Tourism/template/image/anh15.jpg HTTP/1.1" 200 109784
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:19 +0700] "GET /Tourism/template/image/anh16.jpg HTTP/1.1" 200 173900
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:19 +0700] "GET /Tourism/template/image/anh18.jpg HTTP/1.1" 200 164572
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:19 +0700] "GET /Tourism/template/image/anh17.jpg HTTP/1.1" 200 124895
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:21 +0700] "GET /Tourism/dia-diem?action=diadiem HTTP/1.1" 200 11244
0:0:0:0:0:0:0:1 - - [04/Sep/2020:01:55:25 +0700] "GET /Tourism/trang-chu HTTP/1.1" 200 9127
